aus_portret,aut_portret,bel_portret,bra_portret,che_portret,chl_portret,chn_portret,col_portret,deu_portret,dnk_portret,egy_portret,esp_portret,fin_portret,fra_portret,gbr_portret,grc_portret,hkg_portret,hun_portret,idn_portret,ind_portret,irl_portret,ita_portret,jpn_portret,kor_portret,mex_portret,mys_portret,nld_portret,nor_portret,nzl_portret,phl_portret,pol_portret,prt_portret,sgp_portret,swe_portret,tha_portret,tur_portret,twn_portret,zaf_portret,aus_portretx,aut_portretx,bel_portretx,bra_portretx,che_portretx,chl_portretx,chn_portretx,col_portretx,deu_portretx,dnk_portretx,egy_portretx,esp_portretx,fin_portretx,fra_portretx,gbr_portretx,grc_portretx,hkg_portretx,hun_portretx,idn_portretx,ind_portretx,irl_portretx,ita_portretx,jpn_portretx,kor_portretx,mex_portretx,mys_portretx,nld_portretx,nor_portretx,nzl_portretx,phl_portretx,pol_portretx,prt_portretx,sgp_portretx,swe_portretx,tha_portretx,tur_portretx,twn_portretx,zaf_portretx,ewretd,ewretx,sprtrn,vwretd,vwretx
1.0,0.7389185850494402,0.7249764257701848,0.6818180479979379,0.7406108831662878,0.5147855293154968,0.19920849352216916,0.5771717986510535,0.7852638331784123,0.5237482721382853,NaN,0.6911744652899132,0.7901314700011152,0.7589388252373757,0.7950845779065,0.6117226667973603,0.3422511213015374,0.5644240085706931,0.6766537862309345,0.707943836481181,0.7327203439814092,0.7361763893280691,0.6024996517428732,0.679422776527574,0.7427428067352533,0.6842083218652663,0.7000695007915787,0.6852422368293086,0.7984914637477063,0.588036427127098,0.5882526397224616,0.5805322663582545,0.7746123185087005,0.7634387273810445,0.6690820262130363,0.3540636539182627,0.6138101887829903,0.6981898794810509,0.9978615808920813,0.7446561720673631,0.7278226414086595,0.684058956537654,0.7465626141404419,0.5242270340696746,0.19725290032418177,0.5909042984046058,0.7949918464040142,0.5278555566740649,NaN,0.6840264759712269,0.7794967463523603,0.7596907647713612,0.7919989597197342,0.6015164715777442,0.3518181366227853,0.5673239162738569,0.6747206747624344,0.7088854397278213,0.7326039625464064,0.7401019066441272,0.6280696549854408,0.6826203799527999,0.7390200901138113,0.6877966039931219,0.693671831683586,0.6826294865454662,0.8173800365308168,0.5916964683712599,0.5845736470796951,0.5984402930985466,0.758717062295882,0.7611951449833885,0.6787152557831929,0.3520614457695414,0.6145965101746547,0.7032382512489551,0.8487651231603507,0.8497528611047708,0.817038474876295,0.8464221309265106,0.8471975252016649
0.7389185850494402,1.0,0.8357172172530409,0.5975934957979802,0.7131145143012205,0.6015178026021935,0.16633285608921794,0.6551028300899548,0.8466172422460304,0.4287018311050372,NaN,0.8703319321036352,0.8360212663721126,0.8139836669551456,0.8957770551874186,0.7637911316562717,0.48597561323926675,0.7406445911919876,0.6020553544873158,0.5911524813206707,0.8051492700349976,0.8744033368490944,0.5801252816430398,0.6211432992267,0.6715959699120456,0.6734772148747756,0.7071568590125343,0.7566597762530723,0.5627147534546931,0.5626621051448563,0.7455999453185517,0.7401551182113989,0.7534959758806382,0.7107491359040279,0.5784241660653442,0.33744706913299627,0.5824657108015556,0.685169382152092,0.7398555639663,0.996347507557162,0.8188610513464543,0.5956682415660111,0.7170844095657818,0.5915640782080094,0.16754864001623154,0.655289438058454,0.8390173535043728,0.44236923661662025,NaN,0.8659990532305817,0.8401916163074834,0.8025204642369366,0.8966293878006394,0.7636942010693909,0.4948630346603624,0.7326043009171808,0.6105329438827968,0.5923811200359175,0.8051362698668033,0.8687162097128508,0.6116533862566588,0.6220190208888374,0.6604791899874185,0.6887682796778944,0.6977591594678481,0.7406869283149325,0.5903986317486801,0.5651355988096259,0.738769267327953,0.7413106542710477,0.7300257668914912,0.7051003338244851,0.5881389401848552,0.34059655075241146,0.5900349714540625,0.6998101213841806,0.7675666453159508,0.7677759057604041,0.6986786014616977,0.7238507541423846,0.7246377506012047
0.7249764257701848,0.8357172172530409,1.0,0.5392472184648403,0.8029649486841944,0.5196754883032647,0.21018428606332237,0.546951167700321,0.8329784323000765,0.5470670562240469,NaN,0.8463361275611601,0.7931597724477488,0.8422145047133353,0.8719009134093677,0.7684307521161073,0.5004233499122036,0.5879883934934881,0.5707573845958521,0.5129095814989213,0.816508939666576,0.852090991488428,0.5671269493504731,0.6379573348486185,0.7283174848139087,0.6710587368714498,0.6856589486708972,0.6750766079302543,0.5932461885577527,0.48578253693856377,0.7449441666477438,0.7468073117487105,0.7685243892267627,0.7542326102561333,0.6496925936568889,0.2823578515898624,0.48994852999299704,0.6696968224125385,0.7235317718131351,0.8424321524971545,0.995400952514143,0.545712489872233,0.8018220434100441,0.5121844936175183,0.21268569695699135,0.5576847878028802,0.8416012102902213,0.544037219990513,NaN,0.8426358384141851,0.780442449842553,0.8390423491092918,0.8731657608636608,0.7651012448193597,0.5115528930399573,0.5892373421568203,0.5777865720546187,0.5149297059599969,0.8110249423429408,0.8591225984528464,0.5788012528295601,0.637306516243789,0.7222664816915517,0.6672473998640093,0.6812368344008941,0.6713102942202432,0.6004855881693174,0.48337525339155524,0.739741325586507,0.7728870215257204,0.7572018620050567,0.7456560422030843,0.6567414003979175,0.27941804730396547,0.49424358344039954,0.6739563213141259,0.7078472439599546,0.7067665950179772,0.7281420081557108,0.7389092922920385,0.7390767255413311
0.6818180479979379,0.5975934957979802,0.5392472184648403,1.0,0.46563897655644587,0.6398128090156818,0.19580287371257124,0.5437987782849488,0.6000038148872574,0.21551657894860626,NaN,0.5990402834542299,0.5772585659913079,0.5463127297759756,0.579445992010477,0.5727469113354852,0.24667285673245498,0.5246592060198013,0.6286819588461451,0.6233942266436381,0.556023197786691,0.6042815675930475,0.41087442892995507,0.6484267820731032,0.6550407796103632,0.5225104823654589,0.4389297913647954,0.5635843592960778,0.5797801305871279,0.5911167015086508,0.5542012679602848,0.49278598417435315,0.635064779327619,0.5102036712167595,0.6158202980282345,0.34590826802590524,0.5250632493187825,0.6806708087461881,0.6792547070432957,0.5946370884518973,0.5291274206902734,0.9971085134620389,0.4700125217913302,0.6442100494450533,0.18550149842191838,0.5353959027940994,0.5926611324768198,0.21939541854219557,NaN,0.5926557522834904,0.5525674804750718,0.5376727275891042,0.5787783330505304,0.5579141886021782,0.23913369751272676,0.5200110492802499,0.624052568891267,0.624054309146613,0.5555882748138313,0.6011689087394568,0.429871008196316,0.6445865317854074,0.6514443625831362,0.5272901990581107,0.4334548278978513,0.5502741985539025,0.5871235893165164,0.5867630467640816,0.5518814362914478,0.48794977465609096,0.6133499558736516,0.5092257098924886,0.6234708349932508,0.3449392528426842,0.5164182425030427,0.6839817211711415,0.6991350731705743,0.6984077888099302,0.61338727929894,0.648790052032777,0.6484178546556048
0.7406108831662878,0.7131145143012205,0.8029649486841944,0.46563897655644587,1.0,0.432123953217466,0.11615542014879346,0.49888753805039543,0.8768715835565052,0.691107498929619,NaN,0.7038048605773496,0.7968211675165957,0.8545145409221763,0.8019680269587449,0.63918159334365,0.33835168652491365,0.47843670985082887,0.38586323704279996,0.4467313071269071,0.8083555403657546,0.7874817973744261,0.6133157155667412,0.6858626247577201,0.676427946152833,0.5923802580227511,0.7983862102551231,0.6329975205622482,0.6341284652558641,0.3397495225382076,0.6545540325437853,0.5945897456645742,0.612752800182224,0.8744576644457894,0.5021557874325,0.22868513545856664,0.6032338951258257,0.556906018811336,0.7400791382084032,0.7106196929249792,0.7941902655193442,0.4658064189465745,0.9957469027726212,0.4237673151045535,0.11575716459187185,0.5131653626815252,0.8745763928772612,0.6847354464104021,NaN,0.7012377298179072,0.7887922506055821,0.8456512177097218,0.7976854422767385,0.6330510584950721,0.3530409273822176,0.47796557640488957,0.38777539841195235,0.44591632594385683,0.8014302966701309,0.7838348291007868,0.6268405183388951,0.6880451206592864,0.6702616357447362,0.5923882937300166,0.7960672237903689,0.6260084697840902,0.6470343063498606,0.334990234326944,0.6542471023956138,0.5965549073502543,0.6018471480669585,0.8688856866508545,0.5126037805620283,0.22422357686080815,0.6091032459465252,0.5669471305561672,0.7145793637661566,0.7144486274919312,0.8279441362260185,0.8173896823599914,0.8173155031759278
0.5147855293154968,0.6015178026021935,0.5196754883032647,0.6398128090156818,0.432123953217466,1.0,0.20403201696764572,0.5109378360838597,0.5998677777908032,0.15539563570246528,NaN,0.5519225493566802,0.4542866449161897,0.5087038207518808,0.602953612457038,0.6123515722759258,0.47209891088534883,0.478721191701251,0.4989090063065371,0.4925130549332097,0.5322431473602068,0.5914849036771482,0.3941799550424105,0.5369028004196759,0.5397015708478275,0.4338631979126008,0.46108874590038407,0.5379337690546089,0.37893374627901544,0.4765900680948123,0.5035989406632184,0.502660496746705,0.6113201398929753,0.44602537993547997,0.5356046903665903,0.45765333916000817,0.5983741938430743,0.6655518200976709,0.5093378513633466,0.5983595583471057,0.5062752466650322,0.6295518637231301,0.43200853441361936,0.9883320272674634,0.20187439786378522,0.5133214101098976,0.5896923272509904,0.15329149760884062,NaN,0.5432373393443799,0.4328448298684891,0.4981047624265585,0.5954578621720111,0.6132841543088341,0.4816090247552796,0.457542067660064,0.49127588522182186,0.4926362205438012,0.5268878268561544,0.5864834673559413,0.41075297277274747,0.5363361104122327,0.5295165198282519,0.44033840605417107,0.4518598626613971,0.5212143014965192,0.3929308100161863,0.46874846977451384,0.5050130642283107,0.5237945886077724,0.595904030262339,0.44139223322084475,0.533835973612701,0.45466170367757147,0.5989421769476634,0.6606354937770399,0.5813168310438801,0.5803936604748272,0.5022437104342657,0.5112814793610938,0.5111240723991458
0.19920849352216916,0.16633285608921794,0.21018428606332237,0.19580287371257124,0.11615542014879346,0.20403201696764572,1.0,0.08338818529693717,0.2524169425993727,-0.11699659618294223,NaN,0.2189262262478874,0.17868381364128763,0.22036877858206233,0.19213683274953947,0.09603342787125738,0.5830592648221641,0.15050191057840404,0.015087716462731136,0.1290641299082107,0.15460334630376152,0.21054270524674235,-0.015916631940102656,0.2993446597778163,0.20014889770485692,0.11423851450495626,0.22500719808947411,0.13583649552924365,0.24196134422201193,0.38612616664421706,0.2394927749214853,0.15657570197835702,0.3125327119723575,0.1701897152933669,0.2535482891336698,0.005131968862131465,0.3634621462909253,0.38123365795383973,0.19151153766129347,0.16902975449794683,0.19906326584163428,0.20675638100528748,0.13118087243117485,0.21732816308341962,0.9986702787460723,0.0915467888137858,0.24980564822253162,-0.09718596124291179,NaN,0.22155068162501437,0.18678681256357887,0.21486786364496677,0.2028628432496644,0.09054197571582044,0.551679022993724,0.14061781574244597,0.01404401340934239,0.12762981333696416,0.16645641614394777,0.2044511041443624,-0.0013342815203069632,0.29493158504000844,0.19939029313091947,0.11177539281082044,0.2263242012307753,0.1284301323265831,0.2377306803480799,0.3909903272510649,0.23382686139502262,0.159452309128222,0.3184496510496115,0.16978893853770408,0.26140152619364343,0.0141725529497299,0.3495722446526442,0.38964523519712446,0.4009593776114463,0.39988167703971667,0.28863924793234885,0.32081274678529526,0.3200033962177924
0.5771717986510535,0.6551028300899548,0.546951167700321,0.5437987782849488,0.49888753805039543,0.5109378360838597,0.08338818529693717,1.0,0.5794975329259009,0.2962762881562513,NaN,0.6316467351022221,0.5236569410304001,0.5316779409348729,0.6544062123869643,0.49461986439490874,0.39174227597067657,0.47142010173395066,0.5139541243002694,0.4508280664342104,0.5126921321889877,0.6491854028695893,0.3540114155965314,0.5043981930705863,0.5228445771954936,0.5539223280217522,0.3716889913239563,0.6516846094124804,0.4238468316529038,0.5746066781322123,0.5307704210527543,0.5055198764058535,0.6090794024367562,0.414411133226572,0.3497689974383523,0.21592701249497678,0.4881008076078809,0.5229770203314276,0.5722435255298022,0.6576051313356169,0.5554058344292576,0.5436638940795389,0.5144356746704083,0.5254592551817667,0.08621455943554295,0.9837733459342862,0.5902800095866653,0.3053318646616318,NaN,0.6245022296932605,0.5174471151679289,0.5350850178879325,0.6602956400243604,0.49894889449349344,0.40522439587783127,0.47270944698480866,0.5183980179027968,0.4537024133595614,0.5086882336510781,0.6591423020041649,0.3753513719287,0.49691075992433403,0.5294868724773837,0.562885828089691,0.36784145940669966,0.6543655074148964,0.43214659517802606,0.5763736114915428,0.5316896619781003,0.5390123746103569,0.6083132712503817,0.42016338079284277,0.3608785103781593,0.21787568622178058,0.4959988471413716,0.5286934648110775,0.5483666416450605,0.5482925005437679,0.5133798331345133,0.5345627445176194,0.5358846589102257
0.7852638331784123,0.8466172422460304,0.8329784323000765,0.6000038148872574,0.8768715835565052,0.5998677777908032,0.2524169425993727,0.5794975329259009,1.0,0.5572311878366083,NaN,0.8426952493742158,0.8570737834332207,0.9042792649250275,0.8582074986736936,0.7339099792113625,0.4534153871912783,0.6008093394460597,0.5098883417264571,0.48653996843159825,0.886243353419967,0.9028283291204658,0.6508613412135476,0.7351597261934322,0.7530175698916163,0.6789298840978004,0.8431358202994861,0.6725455428637702,0.623709786025986,0.48523943554511223,0.7674819829609403,0.6691395006187815,0.6867865838858214,0.872845231589473,0.5867703411403824,0.24259400091889324,0.6725487230252422,0.7026925503155632,0.7808759761021891,0.8533269230297293,0.8233087016560227,0.6018373077974101,0.8765819096924032,0.5939455654170036,0.2556801194897133,0.6011035068674807,0.9943516679649506,0.559422242208713,NaN,0.8398075614676874,0.8505189485432534,0.8958629862485015,0.8576981888370699,0.7330763991267055,0.4645369112794954,0.5995621694452249,0.5144071238330146,0.4864780924817039,0.8821992441074069,0.8976562135964131,0.6718917470162845,0.7401157632196143,0.7452321610355632,0.6848737935063374,0.8356807898325229,0.6524963579090228,0.6444422382816579,0.4841735172048868,0.7662403862947236,0.6744889996055113,0.6683936921511953,0.8701066054182279,0.5918969436456545,0.24324745236866843,0.6825012620759237,0.7112788858054433,0.8268889616725579,0.8267311779957318,0.8730065300236507,0.8798134813764543,0.879567860202989
0.5237482721382853,0.4287018311050372,0.5470670562240469,0.21551657894860626,0.691107498929619,0.15539563570246528,-0.11699659618294223,0.2962762881562513,0.5572311878366083,1.0,NaN,0.4095206621951212,0.6060919297250617,0.6041374096649033,0.5069323528677273,0.4019832548962037,0.056893251318129626,0.29704023735553853,0.28702323360845194,0.39224888031368893,0.5912574315368279,0.42799793052739227,0.43539259898589827,0.48221676615746595,0.41198838949453437,0.6037055863790525,0.6535808106214082,0.4408220116227841,0.463931305214018,0.1672997692054089,0.4581514420766398,0.44158451166992857,0.3117484803298357,0.6614892847670398,0.2810918646300343,0.3158008220318224,0.5104465850999936,0.22614787295899236,0.5312656177014725,0.4286762819732521,0.5429419923934149,0.22667724090085783,0.688999719452763,0.15103238397403657,-0.117968960024201,0.30686301443913455,0.5541988534756714,0.9975648855295035,NaN,0.4067062110952479,0.6063726239144687,0.601820822572243,0.4995161394932031,0.39833062184417206,0.08632868194480615,0.30360518018609656,0.2902213209391127,0.3908353144299143,0.5940175012987204,0.4283479440241291,0.46032742317372843,0.4902074932690994,0.40795977068781913,0.605018402741946,0.6506820801007601,0.4385259243943035,0.501773472068085,0.1711352483116225,0.4581951884453415,0.4427041346508314,0.3026285989540651,0.6562767167453077,0.28695499174535755,0.31104586254454886,0.5082033074201904,0.2390358078875738,0.472687460858949,0.4745029676123418,0.6712558864892472,0.6531726729770841,0.6531845825115563
